block,job_size,canonical_name,frequency,business_segments,job_segments,sources_count,so_that,context_when,fitbase_value,barriers,drivers,previous_solution_problems,lpr_quote,sources,all_variants,cluster_id,concept_tag
Финансы и учёт,Small,Отмечать посещения клиентов (QR/чекин/ручная),1,,,1,Чтобы принимать решения,Когда нужен анализ,BI-отчёты,Сложность метрик,Цифры,"Excel, нет аналитики",,АГРЕГИРОВАНО (без привязки к конкретному интервью),Делать отчёты по продажам и посещаемости,Фин-12,посещения_отметки
Финансы и учёт,Middle,IP-телефония для работы с клиентами,1,S5,J1,1,,"«Я владелец, я не сижу постоянно в зале. Хочу с мобилки или дома зайти в программу»",,,BI Dashboard от Яндекса по ссылке + Telegram-бот для управленцев с ежедневным отчётом,,,Анастасия (Завьялово) — микро-студия без админов,Видеть выручку и статистику с телефона,Фин-15,ip_телефония
Финансы и учёт,Middle,Касса (Atol/облачная) и эквайринг,1,S2,J2,1,,Касса Atol уже подключена через её самописную программу,,,,,,Марина — самописная 1С,Касса Atol + СБП → Юкасса (расчётный счёт Сбера),Фин-16,касса_atol
Финансы и учёт,Small,Анализировать финансовые показатели и распределять дивиденды,1,S4,J4,1,Чтобы поддерживать капитализацию и мотивацию,Когда нужно оценить прибыль и вознаградить акционеров,"Финансовая устойчивость, мотивация",,,"Сложность финансового анализа, необходимость точных данных",,"Стас — Stretch House (франшиза, 65 студий)",Анализировать финансовые показатели и распределять дивиденды,Фин-17,
Финансы и учёт,Middle,Привлекать новую молодую аудиторию (до 35 лет) через premium-budget позиционирование,1,S3,J4,1,Чтобы оставаться рентабельными при низкой цене и расти на 3x быстрее рынка,"Когда мы лоукостер по цене + premium по качеству. Стоимость персональной тренировки = 3 месяца подписки клуба — рушит логику. Класс. модели рассчитывают получать с лида больше денег за месяц, мы должны платить меньше за лид",Контекстная реклама и таргет работают через Fitbase лиды → клиенты,"Premium-budget = оксюморон, на рынке мало понимания",Контекст и таргет дают стабильный поток лидов,"Рынок выжигается медленнее чем ожидалось — даже через 2,5 года первенцы (Прометея, Кутузова) дают тот же поток лидов","«Premium low cost — это такой оксюморон, как горячий снег, но он существует.» (28:34) | «Стоимость персональной тренировки = 3 наши месяца. Логика прям вообще рушится.» (17:49)","Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)",Привлекать новую молодую аудиторию (до 35 лет) через premium-budget позиционирование,Фин-18,
Финансы и учёт,Middle,Поддерживать высокий темп открытия новых клубов с доказательством модели инвестору,1,S3,J4,1,"Чтобы реализовать стратегию 50-60 клубов в СПб + новые форматы (NEO, ещё 3 формата в разработке)",Когда инвестор изначально не давал бесконечный кардбланш — первые клубы доказывали модель. Сейчас доказали — растем активнее. С 7 в феврале 25 до 12 сейчас + 4 в открытии,Fitbase масштабируется под рост сети,Аренда коммерческих помещений в СПб,—,—,"«Каждый раз когда спрашивают откуда лиды, статистика на первых клубах не падает, иногда вырастает больше чем в первый год.» (30:51) | «Кассовый разрыв 3 месяца, полный выход — 6-12 месяцев.» (62:34)","Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)",Поддерживать высокий темп открытия новых клубов с доказательством модели инвестору,Фин-19,
Финансы и учёт,Small,Управлять ценообразованием в рамках рыночных границ,1,S3,J4,1,Чтобы расти в марже без потери позиционирования лоукоста,Когда подняли цену на 10% — минимальный негатив. Готовы поднимать дальше но в рамках цен законодателей рынка,—,Не можем стать дороже законодателей рынка,Эластичность спроса позволяет,—,«Подняли на 10% — был негатив минимальный.» (55:10) | «Мы по стоимости находимся все равно внизу.»  (55:36),"Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)",Управлять ценообразованием в рамках рыночных границ,Фин-20,
Финансы и учёт,Small,Конкурировать со студиями и старыми классическими клубами,1,S3,J4,1,Чтобы расти даже в плотной конкурентной среде,Когда около станции метро Пионерская — 5 фитнес-клубов на перекрёстке. Один из трёх самых продающих у Urban Fit,—,Жёсткая конкуренция требует постоянного качества,"Новизна продукта, рекуррентная модель сложна для копирования",—,«5 фитнес-клубов на перекрёстке — один из самых продающих у нас.» (59:28) | «Старому клубу для перехода на рекуррент нужен ремонт + кассовый разрыв 6-12 месяцев.» (61:39),"Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)",Конкурировать со студиями и старыми классическими клубами,Фин-21,
Финансы и учёт,Middle,"Автоматизировать учет клиентов, расписание и оплату занятий",1,S1,J3,1,"Упростить управление, избежать ошибок, не терять клиентов, быстро обрабатывать заявки и платежи.","Студия готовится к запуску, есть необходимость вести учет клиентов, расписание и оплату без ручной работы.",CRM с интеграцией облачной кассы и мобильным приложением.,,"Онлайн-оплата, интеграции с платежами, автоматическое списание занятий.","Нет облачной кассы, двойной учет (физическая касса + ручной учет), отсутствие автоматизации.",—,Ярослава — открытие студии пилатеса,"Автоматизировать учет клиентов, расписание и оплату занятий",Фин-22,
Финансы и учёт,Small,Обеспечить возможность покупки и записи на занятия без скачивания приложения,1,S1,J3,1,Уменьшить барьеры для клиентов и увеличить продажи.,"Есть клиенты, которые не хотят или не могут устанавливать приложение.",Личный кабинет и виджет онлайн-расписания.,,Увеличение конверсии.,Нет удобного онлайн-доступа.,"«Мне нравится вариант, что сайта прям сразу можно посмотреть и оплатить, и не скачивая приложение»",Ярослава — открытие студии пилатеса,Обеспечить возможность покупки и записи на занятия без скачивания приложения,Фин-23,
Финансы и учёт,Middle,Вести учет клиентов и оплат,1,S1,J1,1,"Чтобы быстро видеть, кто оплатил, кто нет, и не тратить время на сверку вручную","Когда клиенты платят, а деньги приходят на карту или расчетный счет, и нужно сверять платежи",Облачная касса и онлайн-оплата с автоматическим учетом платежей,"Стоимость подключения кассы, необходимость перехода на бизнес-аккаунты","Подключение облачной кассы, онлайн-оплата, автоматизация отчетности","Нет автоматического учета, приходится сверять вручную, сложно понять, кто и за что платил","""У меня там Excel считает внизу, сколько всего заплатили в этом классе. Потом это сводится по всей школе. Такая получается работа сложная.""",Танцевальная студия — Mobi-конкурент,Вести учет клиентов и оплат,Фин-24,
Финансы и учёт,Middle,Использовать AI-помощников в управленческих и строительных задачах,1,S5,J3,1,Чтобы экономить время и не зависеть от единственного эксперта,"Когда нужно посчитать расход материалов, проверить цены подрядчиков, подобрать конфигурацию оборудования",—,Прорабы скептически относятся к GPT-аргументам,"GPT, Хастингс 3D, нейросети интегрированы плотно",GPT иногда занижает/завышает цены — нашёл региональное приложение точнее,"«Нейросети интегрированы в рабочие процессы очень плотно везде... подбор тренажёров, расчёт строительной смеси, торговаться с подрядчиками.» (11:00)","Алексей Кочкин — зал без персонала (Екатеринбург, открытие)",Использовать AI-помощников в управленческих и строительных задачах,Фин-25,
Финансы и учёт,Big,Контролировать финансы и продажи,1,,,1,Чтобы управлять ростом бизнеса,Когда нужно планировать и расти,"BI-отчёты, финансы",Сложность аналитики,Желание «видеть цифры»,"Excel и ручные подсчёты, ошибки",,АГРЕГИРОВАНО (без привязки к конкретному интервью),Контролировать финансы и продажи,Фин-26,
Финансы и учёт,Middle,Вести учёт клиентской базы (активные и архивные),1,,,1,Чтобы видеть актуальный статус клиента и работать с retention,Когда база растёт и клиентов много,"CRM-карточки, архив","Объем базы, перенос",Централизация,"Excel, дубли, потеря данных",,АГРЕГИРОВАНО (без привязки к конкретному интервью),Вести учёт клиентской базы (активные и архивные),Фин-27,
Финансы и учёт,Middle,Делегировать продажи и сервис,1,S1,J2,1,,"Нанять админов/менеджеров так, чтобы они работали по скриптам и возвращали клиентов, а не просто «открывали дверь».",,,,,,"Каталина Алексеева — пилатес/реабилитация, Гатчина",Делегировать продажи и сервис,Фин-28,
Финансы и учёт,Middle,Снять зависимость от 1С при платежах,1,S2,J2,1,,Евгений сейчас платит Сберу через Юкассу 2% эквайринг,,,,,,Евгений — клуб корпоративный (1С КОРП),Снять зависимость от 1С при платежах,Фин-29,
Финансы и учёт,Small,"BI Dashboard от Яндекса — в тарифе PRO, 30 метрик",1,S2,J2,1,,,,,,,,Евгений — клуб корпоративный (1С КОРП),"BI Dashboard от Яндекса — в тарифе PRO, 30 метрик",Фин-30,
Финансы и учёт,Small,Электронное подписание документов — заинтересовал,1,S1,J5,1,,,,,,,,Детская студия — дзюдо/тхэквондо (1С),Электронное подписание документов — заинтересовал,Фин-31,
Финансы и учёт,Middle,Финансовая гарантия + возможность вернуться,1,S2,J2,1,,"«Если мы с вами работаем, что-то нас не устраивает, и потом захотели на другую программу идти, базу нам не проблема перенести с вашей программы»",,,,,,Марина — самописная 1С,Финансовая гарантия + возможность вернуться,Фин-32,
Персонал и зарплаты,Middle,Управлять и контролировать администраторов на ресепшене,8,"S1, S2, S3, S5","J1, J2, J4",5,"Чтобы тренеры были автономны, расписание всегда актуально, а я мог контролировать загрузку залов и эффективность работы","Когда веду учет зарплат тренеров и администраторов, сталкиваюсь с разными схемами оплаты и сложностями в расчетах","Возможность настроить разные схемы оплаты, включая фикс, процент, оплату за каждого пришедшего клиента, а также планы на расширение функционала","""Если они вот пользовались U-Cleanse приложением, им было все удобно... тут вдруг я им говорю, вы теперь должны заходить в браузер"" 27:18","Гибкость настроек, планы расширения функционала, возможность оплаты за каждого пришедшего клиента, учет часов для администраторов в будущем","Ранее ограниченные возможности начисления, отсутствие часовой оплаты для администраторов, невозможность платить тренерам процент от продаж","""Вы можете в двух словах сказать, что можно еще хотеть? Я просто не понимаю, что еще можно хотеть."" ""Вы, может, где-то себе запишите, что может быть и администраторов туда подключить. Это было бы очень удобно."" || ""Администратор, в свою очередь, сможет в задачнике все эти задачи отслеживать... С помощью статусов отследить выполнение этих задач.""","Lime Fitness — хореография; АГРЕГИРОВАНО (без привязки к конкретному интервью); Анастасия (Завьялово) — микро-студия без админов; Дмитрий — сеть, JTBD-вариант; Евгений — клуб корпоративный (1С КОРП)","Автоматизировать и упростить управление зарплатами тренеров и администраторов | Обеспечить гибкое и удобное расписание тренировок, которое тренеры могут менять ежедневно без нагрузки на администратора | Полностью автоматизировать студию, чтобы убрать стойку администратора и оставить одного управляющего с плавающим графиком + домофон, потому что человеческий фактор админов критически вредит бизнесу. | Раздельные роли (админ, РОП, фитнес-директор) — есть | Сделать рабочий стол админа понятным «девочке 20 лет» | Снизить расходы на админов | Создавать задачи для администраторов | Управлять задачами и контролировать работу администраторов",Пер-01,адмы
Персонал и зарплаты,Small,Считать зарплату тренеров без Excel и ошибок,5,S1,"J1, J2, J5",3,Чтобы правильно учитывать посещаемость и начислять зарплату тренерам,"тренер получает процент от оплаты конкретного занятия. Если клиент болел — он всё равно оплатил, тренер получил процент. Когда приходит в следующем месяце — он уже не платит, тренер уже не получает.",Автоматическое списание посещений и расчет зарплаты,"""Фиксированная ставка за занятие или процент от клиентов.""",Возможность фиксированной ставки или оплаты за клиента,"Ручной учет, возможные ошибки","""Педагог перед занятием отметил деток, кто есть, и ему начислится зарплата.""","Детская студия — дзюдо/тхэквондо (1С); Каталина Алексеева — пилатес/реабилитация, Гатчина; Танцевальная студия — Mobi-конкурент","Автоматизировать расчет сложной зарплаты | Настраивать расчет зарплаты тренерам | Не перепроверять за программой расчет зарплаты (уйти от багов YClients) | Отмечать посещения клиентов на занятиях | Расчёт зарплаты от оплаченного, не от количества проведённых занятий",Пер-06,зарплата_тренеров
Персонал и зарплаты,Middle,Контролировать выручку и продажи в реальном времени,3,"S1, S3, S4","J3, J4",3,"Студия работала стабильно, приносила доход, а Ярослава могла контролировать процессы без излишней ручной работы и стресса.","Ярослава открывает первый проект в фитнес-индустрии, небольшая студия с ограниченным оборудованием и штатом тренеров, без администратора.","Интеграция с простым замком, дешевое решение для доступа, автоматизация контроля посещений","""Нашли замок за 13 тысяч рублей, сделали интеграцию с фитбейсом, но пока коленочная интеграция"" 49:50","Автоматизация, интеграции с мессенджерами, мобильное приложение, поддержка и обучение.","На рынке нет готовых решений с полной интеграцией CRM и системой доступа, приходится использовать ""коленочные"" решения","«Пока всё понятно», «Нравится функционал»","Дмитрий — сеть, JTBD-вариант; Стас — Stretch House (франшиза, 65 студий); Ярослава — открытие студии пилатеса",Внедрить услугу свободного посещения с автоматизированным доступом без персонала | Запустить и эффективно управлять пилатес-студией с минимальными затратами времени и ресурсов | Управлять операционной деятельностью управляющей компании и поддерживать контроль над сетью студий,Пер-02,выручка_контроль
Персонал и зарплаты,Small,Отмечать посещения клиентов (QR/чекин/ручная),2,S1,J2,2,Чтобы корректно списывать занятия и мотивировать тренеров,Когда администраторы забывают отмечать,"QR-коды, карты, отметки в приложении",Нужно оборудование,Прозрачность,"Забывчивость админов, ошибки",,"АГРЕГИРОВАНО (без привязки к конкретному интервью); Каталина Алексеева — пилатес/реабилитация, Гатчина",Видеть рейтинг тренеров по посещаемости групп | Отмечать посещения клиентов,Пер-07,посещения_отметки
Персонал и зарплаты,Small,Нанимать и адаптировать сотрудников,1,S4,J4,1,Чтобы повысить качество работы и снизить ошибки,Когда нанимаю новых сотрудников и хочу обеспечить их быстрое вхождение,"Быстрая адаптация, повышение качества работы",,,"Ограниченное время, высокая вовлечённость, необходимость постоянного контроля",,"Стас — Stretch House (франшиза, 65 студий)",Лично участвовать в обучении и адаптации менеджеров и сотрудников,Пер-03,найм_адаптация
Персонал и зарплаты,Middle,Программа лояльности с бонусами и «приведи друга»,1,S3,J4,1,Чтобы удерживать сотрудников через личное отношение и поддержку (Headhunter рейтинг высокий) и сохранять лояльность,"Когда команда выросла до 200-300+ тренеров + 24 топ-сотрудника. Все знают всех, генеральный директор тренируется в разных клубах 6 раз в неделю",CRM Fitbase автоматизирует часть процессов так что ручной регуляции хватает,Невозможно масштабировать ручной подход бесконечно,Личная вовлечённость управленцев,—,"«Все знают друг друга, могут написать в личку. Это даёт решать индивидуальные вопросы.» (24:26) | «У топ-менеджмента есть синдром отличника — все погружены во все процессы, начиная от гендира.» (51:15)","Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)",Управлять командой ручным регулированием без жёстких регламентов,Пер-04,программа_лояльности
Персонал и зарплаты,Middle,BI-аналитика и дашборды по бизнесу,1,S2,J2,1,"Чтобы иметь точную аналитику посещаемости, контролировать дисциплину и планировать работу клуба","Когда клиенты приходят в клуб, посещаемость фиксируется вручную или не фиксируется, списание занятий не всегда происходит","Автоматическое фиксирование посещений, отчёты по посещаемости, интеграция с системой доступа (QR-код, штрих-код)","Лояльность к текущему процессу, возможное сопротивление изменениям","Система с QR-кодами, автоматическое списание, отчёты, интеграция с мобильным приложением","Отсутствие автоматизации, ""мы очень лояльны на данный момент"", нет контроля списания занятий","""У нас такой... Мы очень лояльны на данный момент"" (Василий)",Клуб — общий switch-кейс,Контролировать посещаемость и списание занятий,Пер-05,аналитика_бизнеса
Персонал и зарплаты,Small,Делать массовые рассылки и автоматические уведомления клиентам,1,S6,J4,1,,,,,,,"«Можно поставить автоматическую задачу — при окончании блока у клиента прилетала ""Настя, у Дениса закончился блок тренировок, напомни""» (22:46)",Денис — падл-клуб (старт),"Автоматизировать задачи для тренеров (напоминания, ДР, контроль блоков тренировок)",Пер-08,рассылки_коммуникац
Персонал и зарплаты,Middle,Создавать и управлять абонементами с разной номенклатурой,1,S5,J1,1,,"Тренеры на аренде, мотивированы продавать абонементы",,,,,,Анастасия (Завьялово) — микро-студия без админов,Тренерское приложение — снять админа с продаж абонементов,Пер-09,абонементы_управление
Персонал и зарплаты,Middle,Обеспечивать стандартизацию и контроль качества тренировок и сервиса,1,S4,J4,1,"Чтобы клиенты получали качественный продукт, а тренеры работали по стандартам",Когда студии работают в разных городах и нужно сохранить единый стандарт,"Высокое качество услуг, удовлетворённость клиентов, снижение рисков",,,"Сложность контроля удалённых студий, необходимость постоянного мониторинга и обратной связи",,"Стас — Stretch House (франшиза, 65 студий)",Обеспечивать стандартизацию и контроль качества тренировок и сервиса,Пер-10,
Персонал и зарплаты,Middle,Управлять тренерским составом на модели 90% аренда / 10% штат,1,S3,J4,1,"Чтобы зарабатывали тренеры (без депинга), зарабатывали мы (от аренды), и клиент получал доступную цену тренировки",Когда классическая модель — тренер в штате с процентом + налоги = стоимость персоналки в 2x дороже. Мы как лоукостер не можем себе позволить,Учёт тренеров и расчёт зарплат в Fitbase,Иногда новый клуб открыт рядом с домом тренера — нужен индивидуальный подход к переводу,Гибкое управление переходами тренеров между клубами при росте,—,"«35 человек на квадратуру 1800-2000. 35 — это на аренде, не считая штата.» (20:08) | «Если бы тренер в штате, для клиента персоналка была бы в 2 раза дороже. Не совсем мы будем биться, мы вроде как лоукостер.» (17:03)","Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)",Управлять тренерским составом на модели 90% аренда / 10% штат,Пер-11,
Персонал и зарплаты,Small,Подбирать молодой тренерский состав под молодую ЦА,1,S3,J4,1,Чтобы молодёжь воспринимала тренеров как авторитет и социализировалась,"Когда исследование Technogym показало — для 25- лет нужны молодые тренеры, авторитеты по возрасту",—,Кадровый голод в индустрии (пока не критичен у Urban Fit),Юлия Александр + директор групповых программ хорошо анализируют рынок труда,—,"«Молодёжь выбирает экспертов ближе по возрасту. Мы уже к этому пришли — наблюдаю, у нас достаточно молодой тренерский состав.» (36:14)","Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)",Подбирать молодой тренерский состав под молодую ЦА,Пер-12,
Персонал и зарплаты,Small,Вести задачи для тренеров и контролировать их выполнение,1,S1,J3,1,Обеспечить индивидуальный подход к клиентам и качество услуг.,"Нужно напомнить тренерам о замерах, противопоказаниях и других индивидуальных моментах.",Блок задач.,,Управляемость команды.,Нет системного контроля.,—,Ярослава — открытие студии пилатеса,Вести задачи для тренеров и контролировать их выполнение,Пер-13,
