job_size,business_segment,job_segment,want_short,context_when,want_result,so_that,importance,satisfaction,gap,fitbase_value,previous_solution_problems,drivers,barriers,lpr_quote,interview_label,business_profile,lpr_profile,notes,duplicate_group,is_canonical,id
Middle,S1,J3,Обеспечить удобную коммуникацию с клиентами через разные каналы в одном окне,"Клиенты пишут в Instagram, WhatsApp, Telegram, ВК, нужно быстро и удобно отвечать.","Получать и обрабатывать заявки из всех каналов в одном месте, быстро отвечать и записывать клиентов.","Повысить скорость реакции, не терять клиентов, контролировать коммуникацию и качество обслуживания.","Высокая, так как влияет на конверсию и удержание.",,,Чат с интеграцией мессенджеров.,"Нет единого окна коммуникации, заявки могут теряться.","Скорость ответа, контроль коммуникации.",,—,Ярослава — открытие студии пилатеса,,,"Разрозненные каналы (Instagram, мессенджеры).",,1,J027
Middle,S1,J3,Обеспечить возможность тренерам самостоятельно отмечать посещения и записывать клиентов,"В студии нет администратора, тренеры должны вести часть работы с клиентами.","Дать тренерам доступ к приложению, чтобы они могли отмечать посещения и записывать клиентов на индивидуальные занятия.","Упростить работу, избежать потерь клиентов, повысить оперативность.","Высокая, так как нет администратора.",,,Мобильное приложение для тренеров.,"Нет системы, все делается вручную.","Самостоятельность тренеров, снижение нагрузки.",,—,Ярослава — открытие студии пилатеса,,,Не автоматизировано.,,1,J028
Middle,S1,J3,Привлечь и удержать клиентов через автоматические уведомления и мотивацию,"Клиенты записываются, посещают занятия, нужно поддерживать их лояльность.","Автоматически отправлять уведомления о занятиях, окончании абонемента, поздравления, офферы, а также использовать геймификацию и реферальные программы.","Повысить посещаемость, удержать клиентов, стимулировать рекомендации.","Средняя-высокая, влияет на рост выручки.",,,Автоматические пуш-уведомления и геймификация.,Нет автоматических коммуникаций и удержания.,"Автоматизация, вовлечение клиентов.",,"«Автоматическое напоминание, я даже в этом процессе могу не участвовать»",Ярослава — открытие студии пилатеса,,,Не настроено.,,1,J029
Small,S1,J3,Вести учет продаж и посещений в карточке клиента,Клиент покупает абонемент или посещает занятие.,"Фиксировать все покупки, посещения, отзывы и коммуникацию в одном месте.",Иметь полную историю клиента для анализа и работы с ним.,Средняя.,,,Карточка клиента в CRM.,Нет централизованного учета.,Централизация данных.,,—,Ярослава — открытие студии пилатеса,,,Разрозненный учет.,,1,J030
Small,S1,J3,Вести расписание с учетом вместимости и листа ожидания,"Есть ограниченное количество реформеров, нужно контролировать количество записанных.","Автоматически ограничивать записи по вместимости, вести лист ожидания и уведомлять клиентов при освобождении места.","Не допускать переполнения, не терять клиентов, автоматизировать процесс.",Высокая.,,,Расписание с ограничением и листом ожидания.,Нет автоматического контроля загрузки.,Автоматизация записи.,,"«Мне нравится вариант, что сайта прям сразу можно посмотреть и оплатить, и не скачивая приложение»",Ярослава — открытие студии пилатеса,,,Ручное управление.,,1,J031
Small,S1,J3,Вести договоры с клиентами через оферту в приложении,Клиент покупает абонемент или пользуется услугами.,Публиковать договор оферты в приложении с возможностью автоматического подписания через СМС или WhatsApp.,"Упростить юридическую сторону, избежать бумажной волокиты.",Средняя.,,,Автоматизация договоров.,Бумажная работа или отсутствие процесса.,Упрощение документооборота.,,—,Ярослава — открытие студии пилатеса,,,Не настроено.,,1,J032
Small,S1,J3,Вести задачи для тренеров и контролировать их выполнение,"Нужно напомнить тренерам о замерах, противопоказаниях и других индивидуальных моментах.",Назначать задачи тренерам и отслеживать их выполнение.,Обеспечить индивидуальный подход к клиентам и качество услуг.,Средняя.,,,Блок задач.,Нет системного контроля.,Управляемость команды.,,—,Ярослава — открытие студии пилатеса,,,Не автоматизировано.,,1,J033
Small,S1,J3,"Вести аналитику по выручке, посещаемости и работе тренеров",Нужно понимать эффективность работы студии и тренеров.,"Получать отчеты по продажам, посещаемости, доходам тренеров и маркетинговым каналам.",Принимать обоснованные управленческие решения.,Высокая.,,,Отчеты и аналитика.,Нет аналитики.,Прозрачность данных.,,—,Ярослава — открытие студии пилатеса,,,Нет системы.,,1,J034
Small,S1,J3,Обеспечить возможность покупки и записи на занятия без скачивания приложения,"Есть клиенты, которые не хотят или не могут устанавливать приложение.",Позволить клиентам покупать абонементы и записываться через сайт или личный кабинет без установки приложения.,Уменьшить барьеры для клиентов и увеличить продажи.,Средняя.,,,Личный кабинет и виджет онлайн-расписания.,Нет удобного онлайн-доступа.,Увеличение конверсии.,,"«Мне нравится вариант, что сайта прям сразу можно посмотреть и оплатить, и не скачивая приложение»",Ярослава — открытие студии пилатеса,,,Не реализовано.,,1,J035
Big,S1,J1,"Получить готовую, простую и интуитивно понятную CRM-систему для управления студией танцев","Руководитель студии танцев, с опытом работы в CRM (Bitrix, 1С Фитнес), но с негативным опытом в 1С Фитнес, где интерфейс сложный и неинтуитивный, поддержка медленная, администраторы боятся системы","Максимально готовую систему с минимумом настроек, чтобы можно было сразу работать без долгого обучения","Обеспечить комфортную работу для себя и администраторов, снизить стресс от внедрения новой системы","Очень важно, т.к. предыдущий опыт с 1С Фитнес был негативным, тратила много времени на изучение, но не поняла систему на 80%",,,"Интуитивный интерфейс, двухуровневая поддержка, персональный менеджер, автоматизация, мобильное приложение","1С Фитнес: ""прям напугал сложный интерфейс"", ""неинтуитивный"", ""много времени потратила на изучение"", ""вопросы появлялись, поддержка не всегда своевременная"", ""обратная связь затяжная"", ""администраторы боялись CRM"", ""сложно понять схему работы""","Интуитивный интерфейс, двухуровневая поддержка, персональный менеджер, мобильное приложение, автоматизация, интеграция с мессенджерами, возможность тестирования","Неуверенность в переносе данных, необходимость тестирования, отсутствие администраторов сейчас, возможные сложности с интеграцией","""Пробывали работать с 1С фитнес. Честно, прям напугал сложный интерфейс... Я, как руководитель, очень много времени потратила на то, чтобы сама изучить этот вопрос... И в итоге я так до конца и не смогла на 100%, даже хотя бы на 80% понять схему работы.""",Оксана — две детских студии (AppEvent),,,,D009,1,J036
Middle,S1,J1,Обеспечить качественную поддержку и обучение при внедрении CRM,"При работе с предыдущей CRM поддержка была медленной, не всегда своевременной, что усложняло внедрение и работу","Быструю и понятную поддержку с разделением на простые и сложные вопросы, персонального менеджера на тарифе","Снизить время на решение вопросов, повысить эффективность внедрения и обучения","Важна, чтобы не тратить лишнее время и не испытывать стресс",,,"Двухуровневая поддержка, персональный менеджер, обучающие видео и база знаний","Поддержка 1С Фитнес: ""писали, не всегда своевременно получали обратную связь"", ""эффект затяжной"", ""техподдержка была сложной""","Поддержка разделена на две линии, персональный менеджер, обучающие материалы (видео, текст)","Возможные задержки в поддержке, необходимость участия аккаунт-менеджера","""По поддержке... Мы писали, не всегда своевременно получали, ну, как бы обратную связь получалась, чуть-чуть такой затяжной этот эффект.""",Оксана — две детских студии (AppEvent),,,,D010,1,J037
Middle,S1,J1,Автоматизировать коммуникации с клиентами через разные каналы,"Нужно было быстро и удобно оповещать клиентов о событиях, акциях, окончании абонементов, но предыдущие решения не давали гибкости","Настроить автоматические рассылки и триггеры по разным каналам (WhatsApp, Telegram, Instagram, ВКонтакте)","Снизить нагрузку на менеджеров, повысить вовлеченность клиентов и удержание",Важна для своевременного информирования и удержания клиентов,,,"Автоматизация до 40 действий, сегментированные рассылки, интеграция с мессенджерами через Feedbase Chat","В 1С Фитнес и других системах рассылки были неудобны, медленные, дорогие (WhatsApp), блокировки","Автоматизация, сегментация, интеграция с мессенджерами, возможность настройки времени и частоты рассылок","Страх блокировки номеров, необходимость правильной настройки рассылок","""Можно настроить, что сразу практически отправлял 7 сообщений... Можно настроить, чтобы не заблокировали... Можно сегментировать клиентов.""",Оксана — две детских студии (AppEvent),,,,D011,1,J038
Middle,S1,J1,"Отслеживать посещаемость и статус клиентов, включая разовые посещения","В студии много разовых занятий, клиенты ходят нерегулярно, нужно видеть кто ходит, кто пропал, кто не продлил абонемент","Получить отчеты и фильтры по клиентам, которые не продлили абонементы, а также по тем, кто ходил разово и перестал","Контролировать клиентскую базу, вовремя реагировать на отток, улучшать удержание",Важно для понимания реальной активности клиентов и своевременного реагирования,,,"Гибкие отчеты, фильтры по статусам, возможность создавать абонементы на одно занятие","В 1С Фитнес было сложно отслеживать разовые посещения, неудобно вносить данные после начала занятия","Возможность создавать абонементы на одно занятие, гибкие отчеты, фильтры по статусам","Не всегда понятно, как именно отслеживать разовые посещения","""У нас есть разовые занятия... Как мне это отследить? Клиенты ходят разово, платят, а потом пропадают.""",Оксана — две детских студии (AppEvent),,,,D012,1,J039
Small,S1,J1,"Вносить клиентов в занятия задним числом, если они опоздали или пришли позже","В детской студии часто дети приходят с опозданием, нужно иметь возможность добавить их в занятие после его начала","Возможность легко и быстро добавить клиента в занятие задним числом, изменить статус посещения","Обеспечить точный учет посещаемости, избежать проблем с администрированием",Важно для корректного учета и отчетности,,,"Удобный интерфейс для изменения статусов посещения, возможность редактировать записи","В 1С Фитнес было неудобно вносить клиентов после начала занятия, система ""схлопывалась""","Возможность менять статус посещения, добавлять клиентов задним числом",Возможные сложности с интерфейсом и обучением администраторов,"""Можно после начала занятия занести человека? В 1С фитнес это было очень неудобно.""",Оксана — две детских студии (AppEvent),,,,D013,1,J040
Small,S1,J1,Переносить базу клиентов из предыдущей CRM в новую систему,"Есть существующая база клиентов, не хочется вводить вручную",Автоматический перенос данных из Excel или CSV с тестированием и корректировкой,Быстрый старт работы с новой CRM без потери данных,Важно для сохранения клиентской базы и минимизации ручной работы,,,"Помощь в переносе, тестовый перенос, доработка по обратной связи","В 1С Фитнес и других системах перенос был сложным, не всегда корректным","Помощь внедренцев, тестовые переносы, поддержка","Неуверенность в качестве переноса, необходимость участия внедренцев","""Перенос мы помогаем делать... Есть тестовый перенос, смотрите, насколько корректно все перенеслось.""",Оксана — две детских студии (AppEvent),,,,D014,1,J041
Small,S1,J1,"Управлять расписанием занятий и залами, включая повторяющиеся занятия","В студии 2-3 зала, занятия повторяются по расписанию, нужно гибко управлять расписанием","Создавать, редактировать, повторять занятия, распределять по залам",Обеспечить удобное планирование и управление расписанием,Важно для организации работы студии и удобства администраторов,,,"Удобный график, возможность повторения занятий, распределение по залам","В 1С Фитнес было сложно управлять расписанием, особенно с изменениями","Гибкий график, повторение занятий, распределение по залам",Возможные сложности с интерфейсом и обучением,"""Можно повторять тренировку, выбирать дни, менять залы.""",Оксана — две детских студии (AppEvent),,,,D015,1,J042
Small,S1,J1,Создавать и управлять абонементами с разным количеством занятий и сроком действия,"Абонементы не привязаны к конкретному направлению, клиент может ходить на разные занятия",Создавать универсальные абонементы с ограничением по количеству посещений и сроку,Упростить продажу абонементов и учет посещений,Важно для гибкости работы с клиентами и учета посещаемости,,,"Возможность создавать абонементы с разными параметрами, ограничениями","В 1С Фитнес была сложная и раздутная номенклатура, непонятно как учитывать разные направления","Универсальные абонементы, гибкие настройки","Не всегда понятно, как правильно структурировать абонементы","""У нас абонемент не привязан к направлению... Как тогда в этом случае?""",Оксана — две детских студии (AppEvent),,,,D016,1,J043
Small,S1,J1,"Контролировать клиентов, которые перестали посещать занятия, чтобы вовремя реагировать","Родители не всегда сообщают причины отсутствия детей, нужно видеть, кто пропал и почему","Видеть список закрытых клиентов, их посещения, заморозки, гостевые визиты","Своевременно реагировать на отток, предлагать альтернативы",Важно для удержания клиентов и повышения лояльности,,,"Отчеты по статусам клиентов, история посещений, заморозки","В Excel удобно видеть списки, в CRM нужно аналогичный функционал","Группы клиентов, фильтры по статусам, история посещений",Возможные сложности с адаптацией к новой системе,"""Хочется видеть, кто ходил, кто пропал, чтобы вовремя среагировать.""",Оксана — две детских студии (AppEvent),,,,D017,1,J044
Big,S2,J2,Автоматизировать управление фитнес-клубом,"Когда управляющий фитнес-клубом с ~150 активными клиентами, где есть групповые, персональные и свободные посещения, и текущая система учёта устарела и не покрывает нужды","Хочу получить удобную CRM-систему с мобильным приложением для клиентов и тренеров, автоматизацией записи, учёта посещаемости и продаж абонементов","Чтобы упростить работу администраторов, тренеров и управляющих, повысить дисциплину клиентов, улучшить аналитику и коммуникацию с клиентами","Важно, чтобы клуб работал эффективно, клиенты были довольны, а управление было прозрачным и простым",,,"Упрощение работы, автоматизация процессов, удобство для клиентов и тренеров, интеграция с мессенджерами, отчётность","1С устарела, ""простецкая"", ""миллион раз в лет ее никто не обновлял"", нет автоматизации записи и коммуникаций, ручной ввод данных, отсутствие мобильного приложения","Облачная система, мобильные приложения под бренд, интеграция с мессенджерами, автоматизация записи и оплаты, отчёты, push-уведомления","Необходимость согласования с собственником, лояльность к текущему ручному процессу, часть клиентов (пенсионеры) не дружат с технологиями","""У нас только один S-фитнес есть... простые базовые функции... уже миллион раз в лет ее никто не обновлял"" (Василий)",Клуб — общий switch-кейс,,,,D018,1,J063
Middle,S2,J2,Обеспечить удобную запись клиентов на занятия,"Когда клиенты приходят в клуб, часть записывается вручную в тетрадь, часть звонит администратору, часть просто приходит без записи","Хочу, чтобы клиенты могли записываться онлайн через мобильное приложение или сайт, а тренеры и администраторы видели расписание и записи в реальном времени","Чтобы снизить нагрузку на администраторов, повысить дисциплину клиентов и улучшить планирование тренировок","Важно, чтобы запись была прозрачной, удобной и минимизировала ошибки и накладки",,,"Онлайн-запись, мобильное приложение для клиентов и тренеров, возможность администратору добавлять записи вручную","Ручной режим записи, ""в тетрадочку"", ""есть некоторые категории, которые просто приходят"", отсутствие единой системы расписания","Возможность онлайн-записи, мобильное приложение, интеграция с расписанием тренеров, возможность администратору корректировать записи","Пенсионеры не пользуются приложением, часть клиентов предпочитает ручной режим","""У нас есть в ручном режиме показывают все это дело в тетрадочку... либо звонят, если не знают, как записываются"" (Василий)",Клуб — общий switch-кейс,,,,D019,1,J064
