job_size,business_segment,job_segment,want_short,context_when,want_result,so_that,importance,satisfaction,gap,fitbase_value,previous_solution_problems,drivers,barriers,lpr_quote,interview_label,business_profile,lpr_profile,notes,id
Middle,S4,J4,Поддерживать и развивать партнёрские отношения с франчайзи,Когда партнёры запускают студии и развивают бизнес,"Хочу, чтобы партнёры запускались качественно, с прибылью и развивались","Чтобы сеть масштабировалась органично, партнёры были счастливы и бизнес устойчив",Важно (регулярно),,,"Успешный запуск и развитие студий, обмен опытом, поддержка","Разный уровень партнёров, необходимость индивидуального подхода, ограниченные управленческие ресурсы",,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J011
Middle,S4,J4,Обеспечивать стандартизацию и контроль качества тренировок и сервиса,Когда студии работают в разных городах и нужно сохранить единый стандарт,"Хочу внедрить чек-листы, регламенты, обязательный просмотр тренировок экспертами","Чтобы клиенты получали качественный продукт, а тренеры работали по стандартам",Важно (постоянно),,,"Высокое качество услуг, удовлетворённость клиентов, снижение рисков","Сложность контроля удалённых студий, необходимость постоянного мониторинга и обратной связи",,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J012
Middle,S4,J4,Управлять продажами франшиз и отбором партнёров,Когда поступают заявки на франшизу и нужно выбрать подходящих партнёров,"Хочу вести прозрачный процесс отбора, проводить собеседования и контролировать продажи","Чтобы привлечь качественных партнёров, минимизировать риски и обеспечить рост сети",Важно (по мере заявок),,,"Качественный подбор партнёров, рост сети, снижение рисков","Отсутствие маркетингового бюджета, зависимость от личных связей, необходимость личного участия в каждом собеседовании",,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J013
Middle,S4,J4,Собирать и анализировать обратную связь от клиентов и партнёров,Когда нужно улучшать продукт и сервис,"Хочу регулярно проводить кастдевы, собирать NPS и анализировать отзывы",Чтобы оперативно реагировать на проблемы и улучшать клиентский опыт,Важно (еженедельно),,,"Улучшение продукта, удержание клиентов, повышение лояльности","Необходимость систематизации данных, высокая вовлечённость, эмоциональная нагрузка",,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J014
Middle,S4,J4,Управлять маркетингом и операционными процессами,Когда нужно продвигать студии и оптимизировать внутренние процессы,"Хочу контролировать маркетинг, HR и отдел продаж франшиз","Чтобы обеспечить стабильный приток клиентов и партнёров, а также эффективную работу команды",Средняя важность (постоянно),,,"Рост продаж, оптимизация процессов","Ограниченные ресурсы, необходимость делегирования, сложность масштабирования",,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J015
Small,S4,J4,Лично участвовать в обучении и адаптации менеджеров и сотрудников,Когда нанимаю новых сотрудников и хочу обеспечить их быстрое вхождение,"Хочу проводить обучение, сопровождать и адаптировать сотрудников",Чтобы повысить качество работы и снизить ошибки,Важно (при найме),,,"Быстрая адаптация, повышение качества работы","Ограниченное время, высокая вовлечённость, необходимость постоянного контроля",,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J016
Small,S4,J4,Контролировать качество тренировок через просмотр записей и обратную связь,Когда тренеры проводят занятия,"Хочу, чтобы экспертный отдел проверял записи и давал рекомендации",Чтобы поддерживать высокий уровень тренерской работы,Важно (постоянно),,,"Качество тренировок, безопасность клиентов","Большой объём работы, необходимость систематизации",,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J017
Small,S4,J4,Вести личные собеседования с потенциальными партнёрами,Когда поступают заявки на франшизу,Хочу лично оценивать кандидатов и принимать решения,Чтобы отбирать только подходящих партнёров,Важно (по мере заявок),,,"Качество партнёров, снижение рисков","Высокая нагрузка, невозможность делегирования",,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J018
Small,S4,J4,Проводить еженедельные кастдевы с клиентами,Когда нужно понять потребности и ожидания клиентов,Хочу регулярно собирать обратную связь,Чтобы улучшать продукт и удерживать клиентов,Важно (еженедельно),,,"Улучшение продукта, удержание клиентов","Требует ресурсов, высокая вовлечённость",,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J019
Small,S4,J4,Организовывать и проводить All Hands встречи с сотрудниками и партнёрами,Когда нужно поддержать корпоративную культуру и ценности,"Хочу делиться видением, мотивировать и объединять команду",Чтобы укреплять командный дух и ценности компании,Важно (регулярно),,,"Мотивация, культура, вовлечённость","Требует подготовки, эмоциональная нагрузка",,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J020
Small,S4,J4,"Управлять своим временем и энергией через режим сна, питания и спорта",Когда нужно сохранять эффективность и работоспособность,"Хочу поддерживать дисциплину, заниматься спортом и правильно питаться",Чтобы быть продуктивным и принимать правильные решения,Важно (ежедневно),,,"Высокая эффективность, здоровье","Сложно соблюдать режим, отвлекающие факторы",,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J021
Small,S4,J4,Проводить стратегическое планирование и целеполагание,Когда нужно определить приоритеты и задачи на месяц,Хочу ставить цели и планировать работу,Чтобы эффективно достигать результатов,Важно (ежемесячно),,,"Фокус, эффективность",Требует времени и концентрации,,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J022
Small,S4,J4,Делегировать задачи и строить команду,Когда бизнес растёт и нужно распределять обязанности,"Хочу нанимать и обучать менеджеров, чтобы освободить время",Чтобы масштабировать бизнес и снизить операционную нагрузку,Важно (постоянно),,,"Масштабирование, эффективность","Сложность делегирования, контроль качества",,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J023
Small,S4,J4,Управлять коммуникацией с партнёрами и подрядчиками,Когда нужно координировать работу и решать вопросы,Хочу поддерживать связь и оперативно решать проблемы,Чтобы обеспечить слаженную работу сети,Важно (регулярно),,,"Координация, решение проблем","Много коммуникаций, необходимость систематизации",,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J024
Small,S4,J4,Анализировать финансовые показатели и распределять дивиденды,Когда нужно оценить прибыль и вознаградить акционеров,Хочу понимать финансовое состояние и грамотно распределять доход,Чтобы поддерживать капитализацию и мотивацию,Важно (дважды в год),,,"Финансовая устойчивость, мотивация","Сложность финансового анализа, необходимость точных данных",,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J025
Big,S3,J4,"Построить сеть фитнес-клубов нового поколения, которая определит рынок СПб по рекурренту","Когда инвестор поручил создать альтернативную сеть рядом с существующей Фитнесхаус — рекуррентную модель, чтобы привлечь молодую аудиторию с низкой точкой входа",Хочу стать сетью №1 по рекурренту в СПб (50-60 клубов в Питере) и быть первыми в новых форматах (NEO с термой/падл/сквош/pickleball),"Чтобы создать референс на который смотрят остальные, занять регион полностью, заработать на масштабе, реализовать договор на 15 лет","Стратегический приоритет — растут 3× быстрее рынка, +69% клиентов на объект",,,Fitbase CRM поддерживает рост сети,—,Активный диалог с командой Fitbase о развитии функционала,Невероятно высокая планка качества — необходимо удерживать,"«Стать сетью номер один по рекурренту в Санкт-Петербурге. 50-60 клубов в Питере, дальше посмотрим.» (47:02) | «Pickleball — первыми в России.»  (65:08)","Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)","Тип бизнеса: Сеть рекуррентных фитнес-клубов Urban Fit в Санкт-Петербурге. 12 действующих клубов + 4 в открытии (включая NEO с термальным комплексом, падл, теннис, сквош). Действующий клиент Fitbase. | Особенности бизнеса: Рекуррентная (подписочная) модель, первые в СПб с рекуррентом. 70% клиентов до 35 лет, 10% — 14-18 лет. Premium-budget позиционирование: качество клубов одно из лучших на рынке, цена — одна из самых низких. Динамика роста +69% клиентов на объект. Тренажёрный зал в среднем 1000-1200 м² (общий клуб 2000 м²). Средняя площадь клуба ~2000 м². 35 тренеров на клуб (90% на аренде, 10% в штате). Группа компаний инвестора параллельно держит классическую сеть Фитнесхаус. Договор подписан на 15 лет. Готовится 3 новых формата клубов помимо NEO.","Жан — коммерческий директор (приехал из Москвы в 2023 по приглашению инвестора). Евгений — директор по маркетингу. Инвестор — Алексей Фурсов (сеть Фитнесхаус, рестораны Евразия/Чё Груп). Генеральный директор — Мурад, доверенное лицо инвестора, тренируется 6 раз в неделю в разных клубах. Фитнес-директор — Юрий Александр. Директор групповых программ — Юлия.",,J026
